"filename", "language", "JavaScript", "TypeScript", "JSON", "JSON with Comments", "TypeScript React", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamDashboard\components\areaCard\styles.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 5, 50
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamDashboard\styles.ts", "TypeScript", 0, 140, 0, 0, 0, 0, 0, 0, 0, 23, 163
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamMembers\TeamMembers.tsx", "TypeScript React", 0, 0, 0, 0, 46, 0, 0, 0, 0, 13, 59
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamMembers\components\confirmDeleteModal\ConfirmDeleteModal.tsx", "TypeScript React", 0, 0, 0, 0, 40, 0, 0, 0, 0, 10, 50
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamMembers\components\confirmDeleteModal\styles.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 8, 55
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamMembers\components\dto\RemoveMemberDTO.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamMembers\components\memberCard\MemberCard.tsx", "TypeScript React", 0, 0, 0, 0, 40, 0, 0, 0, 0, 9, 49
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamMembers\components\memberCard\styles.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 11, 70
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamMembers\styles.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 9, 63
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamSelector\TeamSelector.tsx", "TypeScript React", 0, 0, 0, 0, 68, 0, 0, 0, 0, 12, 80
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamSelector\components\iconBlank\IconBlank.tsx", "TypeScript React", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamSelector\components\iconBlank\styles.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamSelector\components\icon\Icon.tsx", "TypeScript React", 0, 0, 0, 0, 43, 0, 0, 0, 0, 9, 52
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamSelector\components\icon\styles.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamSelector\components\newTeamButton\NewTeamButton.tsx", "TypeScript React", 0, 0, 0, 0, 81, 0, 0, 0, 0, 13, 94
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamSelector\components\newTeamButton\styles.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamSelector\components\teamCard\TeamCard.tsx", "TypeScript React", 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamSelector\components\teamCard\styles.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamSelector\styles.ts", "TypeScript", 0, 75, 0, 0, 0, 0, 0, 0, 0, 14, 89
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\routes\AppRoutes.tsx", "TypeScript React", 0, 0, 0, 0, 35, 0, 0, 0, 1, 1, 37
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\routes\routes.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
